npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
69830757,TK AL HIDAYAH,Jl. Cilandak KKO No. 70,6,"Evy Santi, S.Pd.AUD",021 7816273,,
69830759,TK TUNAS BANGSA,Jl. Jaha No. 1,4,"Acih Herna, S.Sos",021 78840941,,
69830760,TK PERTIWI II,Jl. Ampera Raya Komplex IIP/IPDN,4,Rumitningsih Wasiyati,021 78834643,,
69830762,TK PELANGI ASIH,Jl. Raya Cilandak KKO. Gg Lihun No. 06,5,IRENE CORNELIA PARIAMA,0812 83397468,,
69830763,TK KEMALA BHAYANGKARI 27,Jl. B. Komp Polri Ragunan,5,Saryamah,021 78838054,,
69830764,TK IBU ZAENAB,Jl. Saco No. 18 HC,4,Fatmawati.,021 78843416,,
69830765,TK NURUL HUDA,Jl. Cilandak Gg. Swadaya,3,Rusmiyati,021 7816067,,
69830766,TK PANGASTUTI,Jl. Harsono. RM./Gang Melati No. 14,3,Rosita,021 7801060,,
69830774,TK HANG TUAH IV,Jl. TL Kumai Komp. TNI AL,3,"Juliani F K, S.Pd",021 78834590,,
69830778,TK ISLAM YASDIFA,Jl. AUP Barat No. 16,2,Sri Bunyanti,021 7802473,,
69830787,TK JEMARI,Jl. Siaga Raya Komp. Siaga Bapenas,6,INDRI MARINI AKBAR,021 7994826,,
69830789,TK AN NIZOMIYAH,Jl. Masjid Al Fajri No. 16,7,"Latifah, S.Pd",021 7902070,,
69830792,TK FUN KIDZ PRESCHOOL,Jl. Kemuning 2 No.57,5,Rika Sulastri,021 7947123,,
69830794,TK AISYIYAH BUSTANUL ATHFAL 61,Jl. Kemuning Dalam I no. 73.,6,Atika Sani,021 79192622,,
69830795,TK AISYIYAH 62,Jl. Pagujaten,3,"Eneng Heti Suryati,Spd",021 7973427,,
69830798,TK ISLAM AL BARKAH,Jl Karang Tengah Raya No.10,4,"TATI SUPYATI, S.Pd.I",021 75910612,-6.301590,106.781151
69830822,TK HIDAYATUT THALIBIN,Jl. Cilandak Tengah III/53,4,NUR LAILY RAHMAH S.PSI,"021 7501369, 021 51233133",,
69830823,TK II YP. BDN,Jl. Bursa No. 18 Komp. Bank Mandiri,4,"CICIH SOECIATI, S.KOM, M.PD",021 75904659,,
69830825,TK CATERPILLAR,Jl. Lebak Bulus III No. 13,4,LINA MARLINA,021 75903501,,
69830830,TK WAHYU,Jl. Wahyu No. 28,5,DRA. DIAH ZULFAH,021 75915986,,
69830832,TK BAHARI,Jl. Bahari I No. 1,6,"Hj. ISNA WAHYU, S.H.",021 7651333,,
69830901,TK ISTIQOMAH,Jl. Delman Indah III,12,Ny. Nurhayati,021 729 1665,,
69830905,TK ISLAM AL AZHAR 4,Jl. Ciputat Raya No.5A,12,"Jazimah, S.Pd","021 7254878 Ext. 100, 101",,
69830917,TK HUSNI THAMRIN,Jl. Rawa Simprung III No. 11,4,Ulfah,021 7231853,,
69830949,TK DWIYANTI,Jl. Kemang Selatan ID/16A,5,Rica Dwi Novianti,021 7182801,,
69830950,TK ISLAM AHDI,Jl. Kemang Raya No. 84,2,,021 7195383,,
69830951,TK NUR MUHAMMAD,Jl. Kemang Timur V / 6 D,3,Azizah,021 7900514,,
69830952,TK JAYAKARTA MONTESSORI,Jl. Kemang Selatan I,5,SITI ROHMATUN,021 7194907,,
69830955,TK DHARMA SATRIA,KOMP POLRI PONDOK KARYA BLOK I/9,4,Yuli Nurulita,,,
69830957,TK BLOSSOM,Jl. Mampang Prapatan VIII/35,9,"Elen Valencia, B SC",021 79195207,-6.2468,106.828079
69830958,TK ASSHABIRIIN,Jl. Mampang Prapatan XIV No. 55,2,Charunnisa Hamim,021 7984612,,
69830959,TK ISLAM RAIHANUL HAMIM,Jl. Kapten Tendean No. 94,6,NURLINA,021 7947788,,
69830960,TK BUDHI ASRI,Jl. Mampang Prapatan VIII D No. 17,3,Rosmalia Atmotenoyo,021 7995232,,
69830961,TK AL HUDA,Jl. Kemang Timur Raya/50,3,Neneng Ulia,021 7183473,,
69830962,TK MAMIRI,Jl. Zeni I Mampang Prapatan,2,"Ani Suwarni Setianingsih, S.Pd",0815 85419382,,
69830963,TK BUDI JAYA,Jl. Gg. H. Marzuki,4,"Herlina,S.Pd",021 79191168,,
69830963,TK DARUL MUTTAQIN,Jl. Kemang Utara C No. 52,3,"Hj.Sa'diyah, S.Pd",021 7190428,,
69830964,TK AL HIKMAH,Jl. Bangka II No. 24,12,Hj. Miskiyah S.Pd.I,021 7194413,-6.2455,106.818855
69830965,TK ISLAM AT TAQWA,Jl. Bangka III No. 6,3,Hj. Fikriyah,021 71792229,,
