npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
6975776,TK ISLAM AL WARDAH,Jl. H. Naman No. 22,6,"SITTA LASTYA FEBRIANI,S.Pd",021 8647950,,
18904027,PAUD TUNAS,Jl. Ungaran Ujung,,,0813 81015551,,
20100421,TK ISLAM TSAQOFAH ISLAMIYYAH,Jl. SMPN 160 No. 32,3,"Yanti Siswantari, S.Pd.",021 93301767,-6.313166,106.888878
20106159,TK SATU ATAP MELATI SDN PONDOK LABU 016 PG,Jl. Pondok Labu IA,2,,021 7658590,,
20109563,TK CAHAYA MUGHNI,JL. Lapangan Tembak Gg Rukun II,4,"SUKARNI,S.Pd.I",021 8710452,,
20109564,TK ISLAM NABILA,Jl. Masjid H. Shobirin No. 11,3,"Siti Khodijah, S.Pd.AUD.",021 87717447,-6.3597,106.879066
20109577,TK KEMALA BHAYANGKARI 26,Jl. Komp. POLRI,5,"Widiati, S.Pd.",021 84597094,,
20109578,TK. ANUGERAH,Jl. Pondok Ranggon,1,,021 8458930,,
20109583,TK TERPADU TURFA,Jl. TPU Pondok Ranggon,3,Baiduri Nilawati,021 84310787,,
20109586,TK KUPU KUPU,Jl. Kupu kupu No. 12 A,4,Destia Rusjayanti,021 8457563,,
20109588,TK ARFANDA,Jl. Buni No. 85,4,YULIDA SRI PURWATI,021 8442255,,
20109589,TK AISYIYAH BUSTANUL ATHFAL 86,Jl. Flamboyan B.P. No. 16 17,8,"Sri Aseh Kadir,S.PdI",021 84590803,,
20109590,TK ARAFAH,Jl. Raya Cilangkap No. 3,7,"Dra. Siti Aisah, S.Pd.",021 8445809,,
20109591,TK ISLAM RIYADHOTUS SHOLIHAT,Jl. As Syafi'yah No. 46,2,"YOYOH,S.Pd..S.PdI",021 84307417,,
20109592,TK NUR HUDA,Jl. Suralaya No. 30,3,Mulia Hartawati S.Pdi,021 98345197,,
20109595,TK BAITUL ILMI,Jl. Ali No. 21,2,"ATIKAH, S.Pd.I",021 8443270,-6.336282,106.890076
20109597,TK PELITA,"Jl. Raya Cipayung kav DKI,BLOK B9/10",2,"Rita Yuni Hartati,S.Pd",021 70399741,,
20109601,TK MEKAR WANGI,Jl. Angkasa No. 14,2,RIDA WAHYUNI,021 84301465,,
20109602,TK KARTIKA VIII 40,Jl. Raya Ceger No. 20 Puspom,2,"SRI WIDARTI, S.Pd",0813 17973199,,
20109603,TK ISLAM AR ROHMAN,Jl. Mangga No. 12,3,Hj. Siti Zahriyah,021 84307941,,
20109605,TK ISLAM ATTAUFIQ,Jl. Raya Gempol No. 10,4,Dra. Uti Maryati,021 8441235,,
20109607,TK ISLAM AL FATHONAH,Jl. SMP 160 No. 29,3,Turiyah Nidaul Khoiriyah,0812 80401470,,
20109608,TK ISLAM BUNAYYA,Jl. Raya Ceger No. 7,4,Susi Yulia Puspanaya,0815 20953821,,
20109611,TK NURLAMORA,Jl. Tengki No. 3,3,Nursalam Napitupulu,0813 85150070,,
20109613,TK KRISTEN TIRTAMARTA BPK PENABUR,4,,,,,
20109614,TK TAMAN SAKTI,Jl. Mini III,3,Rifnidar,0821 10768707,,
20109615,TK KATOLIK NUSA MELATI,Jl. Raya Cipayung Setu No.6,2,Surati,021 8444422,,
20109616,TK TERATAI BHAKTI,Jl. kompleks PSBR,1,FITRIAH NUR HADIJAH,0852 12351874,,
20109618,TK KENANGA,Jl. Bambu Wulung No. 29,1,,021 8444928,,
20109619,TK AL HIDAYAH,Jl. Pagelarang Rt. 02/01,3,"Emay ,S.Pd.",021 98282187,,
20109620,TK NURUL IKHLAS,Jl. Bambu Hitam Rt. 05/05 No. 36,3,"Suyanti,S.pd",0813 11418936,,
20109622,TK ISLAM TUNAS KAFAH,Jl. Siung Kav. Kowilhan II Blok B6 No. 16,2,"Mas Omah Romlah,S.Pd.",0812 83409843,,
20109623,TK ISLAM NURUL ZAHRAH,Jl. Damai No. 25,3,Emy Mulandari SPd I,021 84970259,,
20109624,TK AL GHAZALI,Jl. Gg. Langgar,2,Lita Oktavia,,,
20109625,TK BAMADITA RAHMAN,Jl. Makmur No. 54,10,Siti Nur'aini.SPd,021 87798541,,
20109626,TK NURUL HUDA,Jl. Asrama Zeni No. 38 Rt 05/07,3,Masruroh,0813 10069763,,
20109627,TK DINAMIKA,Jl. Monumen Pancasila Sakti No. 9,2,DARWATI S.Pd.I,021 87786910,,
20109628,TK AL QOMAR,Jl. Albaidho Gg. Karya No. 48,2,"MARDIAH,S.Pd.",0852 80205909,,
20109631,TK HIKMAH,Jl. Tegalan 1 H / 309,7,"Desmiarti, Spd",021 8583683,,
20109632,TK ANTONIUS,Jl. Matraman Raya 119,5,Emiliana Sri Purwati,021 8518486,,
20109638,TK AN NURSIYAH,Jl. Galur Sari Raya No. 19 A,6,"Sri Sudarningrum, M,Pd",021 8574876,,
20109641,TK MAWAR,Jl. Saibun,3,Muniroh,021 8413649,,
20109644,TK AYU ANDIKA,Jl. Pramuka Jaya VI/1,3,Dra. RA. Puji Wahyuli,021 85913173,,
20109645,TKIT PERMATA BUNDA,Jl. Galur Sari Raya Blok J No. 192 B,5,Dra. Muspidah,021 8500238,,
20109647,TK ISLAM AT TAUBAH,Jl. Kebon Kelapa,6,"Kundriati, S.Pd",021 85911586,,
20109657,TK AL BARRA,Jl. Pengayoman 3/44,3,Fransisca Nasir SH,021 8519940,,
20109674,TK ANANDA,Jl. Kayu Putih V No. 1 Rt. 003/05,3,ABU SYUJAI RAIS,0852 55557501,-6.18609,106.892258
20109675,TK STAR GENERATION SCHOOL,Jl. P. Kemerdekaan Blok X No. 4,8,ANA YULIANTI,021 47864241,,
20109684,TK SEVILLA,"Jl. Pulo Mas Jaya, Pacuan Kuda, Pulo Mas",15,INKA MELANIE,021 47882288,,
20109687,TK IKAL I,Jl. H. Ten A / 21 Komplek BULOG Blok B,7,SAMIA MUJI RAHAYU,021 4710720,,
20109697,TK PERTIWI ABHILASA,Jl. Daksinapati Raya No. 10,6,"Dr. TIWI SUSANTI, M.MPd.",021 29847931,,
20109699,TK AISYIYAH 21,Jl. Balai Pustaka Barat No. 2,10,NIKEN HENDRIANI ROSALIA,021 4700571,,
20109701,TK TARAKANITA 5,Jl. Wisma Jaya No. 13,7,FR. Indriyani,021 4898814,,
20109710,TK BPS & K PEMBANGUNAN,Jl. Pisangan Lama III No. 3,2,Hj. SRI WAHYUNI,021 4712415,,
20109711,TK NURUL JANNAH,Jl. Pisangan Lama III No. 12,1,"SUSANTI, S.Pd.I.",0888 1916412,,
20109712,TK NURUSSAADAH 2,Jl. Pisangan Lama III No. 11,5,RINI SITI NURAINI,021 47866828,,
20109713,TK TAMAN SISWA,Jl. Pisangan Lama II No. 407,4,"SITI ASYAROH, S.Pd.I.",021 29834583,,
20109715,TK PERTIWI III,Jl. Cipinang Kebembem II No. 19,6,"HENIDAR ROOSY DARWIS, S.Pd.",021 4899545,,
20109717,TK RUKI,Jl. Gading Raya I No. 47 Gg. XIV,4,"Puji Lestari, S.PdI",,,
20109719,TK KEMALA BHAYANGKARI 16,Jl. Cipinang Baru Raya,2,ERNI NURYATI,0811 8114990,,
20109720,TK KEMALA BHAYANGKARI 17,"Jl. Asrama Brimob, Cipinang Bawah",5,"PUJI LESTARI, S.Pd.",0895 17487057,,
20109722,TK KEMALA BHAYANGKARI 20,"Jl. Asrama Brimob, Cipinang Atas",2,"YETI HERAWATI, S.Pd.I.",0812 19520027,,
20109723,TK PATRA VII,Jl. Albezia Raya Blok A No. 6 7,3,"NENENG HASANAH, S.Pd.",021 4751053,,
20109724,TK KRIDA PUTRA,Jl. Cipinang Baru Bunder,2,MARIA SARAGI,021 47862753,,
20109737,TK AISYIYAH 54,Jl. Kepiting II No. 9,5,"RATNAH, S.Pd.I",021 47865560,,
20109739,TK CEMERLANG,Jl. Gurame No. 17,3,"SRI ELLYANI, S.Pd.",021 4755210,,
20109740,TK NURUDDIN,Jl. Cumi Cumi Raya No. 12,3,"DESSY RUSLITA, S.S., M. MPd.",021 4890425,,
20109741,TK CHERIA,Jl. Layur No. 27,3,"Goldaria, S.Pd",021 4751633,,
20109743,TK PATRA III,"Jl. Jatibarang IV, Komp. Pertamina",4,DAMAYANTI,021 4757263,,
20109748,TK AL HIKMAH,Jl. Jatibarang V No. 40 Komp. Pertamina,4,SEPTEMTOKO,021 4894071,,
20109760,TK ISLAM ANNAJAH,Jl. Tipar No. 3 Rt. 005/08,2,"Hj. Susi Amalia, M.Pd.",021 4601466,,
20109766,TKIT AS SYIFA,Jl. Kayu Tinggi No. 72,3,Siti Mariah,0838 92943633,,
20109768,TK ISLAM JAUHAROTUL HUDA,Jl. Tambun Rengas,4,Dede Masturoh,021 91593529,,
20109769,TK ISLAM AL HANIEF,Jl. Kayu Tinggi No. 9,3,Fifi Ulfiah,021 94793729,,
20109772,TK ISLAM AR RAIHAN,Jl. Tambun Selatan No. 69 Rt.04/08,5,HJ. SITI ZUBAIDAH S.Pd,021 44854690,,
20109774,TK YPI PULOGADUNG,Jl. Raya Bekasi Km. 18,3,"Siyamtini, SPd.",021 46821243,,
20109785,TK AL WATHONIYAH 8,Jl. DR. KRT. Radjiman WD.,3,"Hartini, S.Pd.I",021 4611720,,
20109787,TK BINA PUTERA,Jl. Swadaya Pulo Jahe,4,"Sri Setiawati Kardinia, S.Pd",021 4609953,,
20109793,TK ISLAM SYARIF HIDAYATULLAH,Jl. Dr. KRT. Radjiman W. No. 34,5,SITI SHOLAH,021 92899892,,
20109795,TK NEGERI PENGGILINGAN,Jl. Penggilingan Komplek PIK,6,"Hj. Yusnelly, S.Pd",021 46823635,,
20109796,TK KASIH ANANDA V,Jl. Aneka Elok,6,"Nur Cahyanti Juandi,MA",021 48703141,,
20109798,TK PURNAMA,Jl. Raya Penggilingan,2,,021 4804559,,
20109799,TK ISLAM KARTINI,Perum Aneka Elok Blok A3/17,4,Hj Dewi Budimaningsih .S.Pd,021 4603140,,
20109801,TK CINTA ANANDA,Kp. Pedaengan Rt. 02/08 No. 3,3,"MASLAHAH, S Ag",021 46820402,,
20109802,TK AL WATHONIYAH 9,Jl. Raya Penggilingan No. 99,3,"Hj. Titiek Mujiharti, S.Pd.I, M.M",021 4605887,,
20109809,TKIT ASSYAIRIYAH,Jl. Raya Penggilingan No. 2,5,HJ. AISYAH S.Pd.I,0878 84315216,,
20109810,TK WIJAYA KUSUMA II,Jl. Kampung Jembatan,5,Hj. Umi Darningsih,021 86600829,,
20109817,TK ISLAM ALLYFYA RAHMAN,Jl. Marzuki II Rt. 001/02,2,"Dra RETNO DRAJATI, P",0817 6030023,,
20109819,TK HARAPAN BUNDA,Jl. Pulogebang Permai,2,"LAURENTIA TRIDJAJA,S.Pd",021 4809025,,
20109821,TK ISLAM IZZATUL JANNAH,Jl. Pulogebang Permai Blok C 6 NO 12,9,Ledi Susiati.S.pd.I,021 48702258,,
20109822,TK HOSANA,Jl. Pulogebang Permai,2,LENNY MARLINA. S,021 48701660,,
20109824,TK BUDI SETYA,Jl. Pulogebang Permai G4/21,4,Cory Zettin Gloria,021 48701361,,
20109831,TK ISLAM AL IKHLAS,Jl. Bulak Jaya 58A Rt. 017/08,2,Lastuti,021 48700443,,
20109842,TK ISLAM AL IKHLAS,"Jl. H.Rikin 1, Rawa Kuning",4,,021 91264940,,
20109845,TK PUTRA BANGSA,Jl. Rawa Kuning Rt. 004/02 No. 41,1,Ny. Suliyem,021 4809967,,
20109849,TK ISLAM AN NUR,Jl. Kelapa I,3,"Marhati, S.Pd.i",021 91390219,,
20109852,TK SANG TIMUR,Jl.Edelweis l Blok E1 No 9,7,Suharyanti Restituta,021 4613928,,
20109864,TK MELATI,Jl. Kramat Kedongdong,2,Rosmini Syahar,0821 11969211,,
20109867,TK AL RAHMAN,Jl. Komplek Polri,5,Sumiyem,0813 17590992,,
20109869,TK AR RAHMAH,Jl. Kelapa Dua Wetan,2,Hj. Ra Suhartati,021 8705096,-6.327924,106.884560
20109870,TK ASSA'ADIYAH ATTAHIRIYAH,Jl. Raya Ciracas No. 7,5,"Sumarni, S.Pd.I",021 8702327,,
20109871,TK ISLAM BABUSSALAM,Jl. Raya Centex gg. H. Hanafi,3,N.VERAWATI.S.P.d.I,021 87790881,,
20109874,TK DIAN PRATAMA,Jl. Pengaten Ali No. 7,6,"Sri Soneta Ekayanti, SE",021 8414836,,
20109876,TK HUBAYA I,Jl. Raya PKP No. 25,5,Murtini,021 8717551,,
20109878,TK KANCIL I,Jl. Centex,3,Purwasih,021 87706145,,
20109879,TK KANCIL II,Jl. Cibubur VI,3,,"021 8712018, 0813 10955224",,
20109881,TK KRISTEN TERATAI,Jl. H. Bain,3,"Eli Suhartini, S. Pd",,,
20109884,TK MONIKA,Jl. Raya Malaka No.1A,5,RIANA SIHOMBING,021 8720122,,
20109885,TK ISLAM PKP JAKARTA ISLAMIC SCHOOL,Jl. Raya PKP,10,"TITIN,S.Pd",021 8706295,,
20109886,TK TAMAN HARAPAN I,Jl. Raya Ciracas,2,Sri Rahayu,021 8707717,,
20109887,TK TAMAN HARAPAN II,Jl. H.MARJUKI No 62,4,"Rosminah, S.Pd",021 91163230,,
20109891,TK TUNAS MUDA III,Jl. Salak No. 1 Komp. Dephankam,3,"SUTARTI S,Pd",0899 5804433,,
20109893,TK YUNITA,Jl. Dewa Rt. 004/02,3,Puji Rahayu Agustina,021 8726064,,
20109894,TK ISLAM AL MA'RUF,Jl. Raya Lapangan Tembak,4,"Badi'ah, S.Pd",021 8708159,-6.347374,106.879608
20109911,TK ISLAM TERPADU FATHARANI,"Jl. Cempaka Baru Tengah No. 31, Kemayoran, Jakpus",4,"TELMAYUNI, S.Pd.",021 4256902,,
20109922,TK CAHAYA MUTIARA,Jl. Kp. Rawa I No.20,1,kurniati,0813 18817977,,
20109923,TK CAHAYA BALITA,"Jl. Waja V/4 Harapan Mulia,Jakpus",5,NANA LESTIANA,021 4208940,,
20109935,TK KARTIKA IX 18,Jl. Suratmo Asrama Yonkav 1,9,"Nur Sriyati, S.Pd",021 8716779,,
20109940,TK ISLAM AL HIDAYAH,Jl. Pondok Bambu Asri No. 09,7,"H. Kasiyat, S.Pd.I",021 29361722,-6.233132,106.898308
20109948,TK SATU ATAP PEKAYON 15 PAGI,Jl. Telaga,1,,,,
20109949,TK ISLAM DARUL QUR'AN,Jl. Lewa No. 101,4,Leli Latipah,0813 83207182,,
20109950,TK KARTIKA VIII 8,Jl. Raya Bogor Km. 27,4,"MOEKTY RAHAYOE, S.Pd.",021 87720413,,
20109951,TK KARTIKA X 7,"JL. RAYA BOGOR KM 28, GANDARIA",6,Etty Purwati,0813 10430645,,
20109956,TK KARTIKA XV 1,Jl. Chandraqa Cijantung III,7,MARMINI,0813 82253503,,
20109957,TK ARIMBI,Jl. Pedati Utara No. 5,2,Tatik,021 8410901,,
20109958,TK IGNATIUS SLAMET RIYADI,Jl. Raya Bogor Km. 24,8,"Lusia Sri Sutanti, MM",021 8411937,,
20109960,TK ISLAM DARUL HUSNA,Jl. Pertengahan No. 1,5,LINA YUSLINA,021 8416306,,
20109961,TK KARTIKA X 19,Jl. Pendidikan II Asrama DENZIPUR 3,7,Siti Rustinah,021 96270037,,
20109962,TK ISLAM PB. SOEDIRMAN,Jl. Raya Bogor Km. 24,13,"Fri Corina Sandrawati, S.Si.","021 8400387 Ext. 113, 114",,
20109963,TK MEKAR SARI,"Jl. Belly ,Gg. Mekar VII, no.12",2,"MURYATI,S.Pd",021 8706739,,
20109966,TK TUNAS INSANI,Jl. Gandaria I,1,Hj Masturoh,021 8727620,,
20109967,TK ISLAM UDZRI,Jl. Telaga III No.45,3,"HERNAWATI,S.Pd",021 87713871,,
20109974,TK KARTIKA X 6,JL JAYASAKTI II ASR BRIGIF I PIK/JS,3,"MURDANINGSIH, S.Pd",021 70520450,-6.3379,106.861198
20109976,TK IGEL,Jl. H. Taiman Raya II/19,7,"SOLEHAH, S.Pd",021 8400401,,
20109977,TK INSAN CEMERLANG,Jl. Tegal Sari No. 20,4,SRI SUPRAPTI,021 8706480,,
20109978,TK ISLAM AL MU'MINUN,Jl. Kenanga 1,2,Sri Hadariah S.Pd.I,,,
20109979,TK ISLAM AMAR MA'RUF,Jl. Rambutan No. 2,5,"MURYANI,S.Pd.I",021 8771134,,
20109980,TK ISLAM AN NUR,Jl. Raya Tengah Gg. Surilang,3,Reni Kartini,0858 17709291,,
20109981,TK ISLAM AN NURIYAH,Jl. Raya Tengah Gg Remaja II,6,"ZAKIYAH HUSNUL KAROMAH, S.PD.I",021 8403182,,
20109982,TK ISLAM AT TAQWA,Jl. Radar Raya Komp. MADIT HUBAD CIJANTUNG,7,"Noorma Sanita,S.Pd.I",0812 98643661,-6.334288,106.842072
20109983,TK ISLAM AZ ZAHRA,Jl. Kenanga 2 No. 3,3,"SITI ZAHROH,S.Pd",021 8725340,,
20109984,TK ISLAM BAKTI VII,Jl. H. Taiman Barat I No. 50,2,Khaironi S.Pdi,021 87793147,,
20109985,TK ISLAM BUDI MULIA,Jl. H. Moong Rt. 006/02,2,,021 70623112,,
20109987,TK KARTIKA VIII 1,Jl. Anyelir Cijantung II,6,DENI WARDINI,021 87796017,,
20109988,TK KARTIKA X 12,Jl. Yon Kav 7,6,"Nunik Handayani,S.Pd",021 8410484,,
20109989,TK KARTIKA X 5,Jl. Raya Condet No. 55,6,ENDAH ENDARWATI NURHASANAH,021 71359748,-6.304021,106.861755
20110010,TK KARTIKA XV 6,Jl. Satya 4 no.1 Kopassus,9,Sutinem,021 8414149,,
20110013,TK SATU ATAP GEDONG 08 PAGI,Jl. Trikora No. 74,2,Drs. YONO SUGIHARYANTO,021 8414072,,
20110014,TK TAT TWAM ASI,Jl. Komp. Depsos Pasar Rebo,3,"Oka Syawalina,S.Pd",021 87797064,,
20110016,TK IT AS SA'ADAH,Jl. Kirai Indah Rt. 06/10 No. 11A,13,Yuyun Wahyuni,021 87704676,-6.330505,106.855743
20110017,TKIT BUAH HATI,Jl. Dermaga No. 19,8,Esih Muhsinah,0882 10177686,,
20110026,TK ISLAM AL KALAM,Jl. Swadaya I No. 11 Rt. 002/01,4,Sumiyati S.Pd.I,021 31781411,,
20110029,TK PATRA I,Jl. Kenali Asem Komperta,5,"DIAN HERISDIANA, S.Pd.",021 4756663,,
20110031,TK BAHTERA CERIA,Jl. Bojana Tirta Balai Rw. 015 Komp. Bea dan Cukai,6,"JUARIYAH,S.Pd.i",021 47884571,,
20110038,TK BENTARA INDONESIA I,Jl. Mulya Jaya No. 6,1,,021 8579051,,
20110039,TK AL AKHBAR,Jl. Majalah No. 26 A Kom. PWI,3,Dra Sulastri,021 8579902,,
20110040,TK ISLAM IKHWANUS SHAFA,Jl. Cipinang Muara III,6,Dra. Hj. Halimatus sa'diyah,021 8576329,,
20110041,TK AL HIKMAH,Jl. Delima V Blok VI,3,Wahyuni,021 8612454,,
20110042,TK BESTARI,Jl. Baru Cipinang Muara No. 23,3,"Walsiyah, S.Pd.",021 8516975,,
20110044,TK ISLAM AL MUHAJIRIN,Jl. Taman Malaka Utara No. 12,4,Noeraini H.,021 8648666,,
20110045,TK ISLAM HIFZHUL AMANAH,Jl. Delima III Blok IX,4,Eva Fatchiyati S.Pdi,021 8600318,,
20110046,TK KARTINI CIPINANG MUARA,Jl. Kesadaran IV No. 17,2,"Titi, S.Pd",021 8513810,,
20110048,TK MINI PAK KASUR,Jl. Nusa Indah I Cipinang Indah,3,Wiwin Pudjiarsih,021 85903321,,
20110050,TK AL IMAN,Jl. Cipinang Jaya LL,11,"Neneng Atikah, S.PdI",021 8571141,,
20110054,TK PUTRA I,Jl. Inspeksi Saluran,2,,021 8575653,,
20110055,TK SANTA MARIA FATIMA,Jl. Jatinegara Barat No. 122,4,Swastika Sari Rahajeng S.Sos,021 85902383,,
20110059,TK TUNAS PENI,Jl. Panca Warga III,4,Nurlaela,021 8584822,,
20110062,TK DIRGAHAYU,Jl. Elang,5,Rossini,,,
20110066,TK ISLAM AMALIA,Jl. Kayu Manis No.8,5,DRA. H. HABIBAH,021 8091063,,
20110067,TK AL MUJAHIDIN,Jl. Batu Ampar V,4,Mujiyah. Spd,021 8003550,,
20110068,TK ISLAM BAITUTH THOLIBIN,Jl. Kayu Manis Gg. Astawana No.68,3,Nurun Nisa,0815 9510595,,
20110074,TK ISLAM TERPADU AL MUDZAAKARAH,Jl. H. Baing No. 80,5,"Ulfah,S.Pd.I",021 87782839,,
20110077,TK ISLAM AL MAWADDAH,Jl. Mesjid Al Bariyah,4,Lisdayani,,,
20110079,TK ISLAM ARRASIS,Jl. Trikora 4 No. 246,7,"NURHAYATI, S.Pd",021 87799568,,
20110081,TK FATURRACHMAN,Jl. Karya,3,"Wiena Mardiana,S.Pd",021 91968659,,
20110082,TK NURUL HASANAH,Jl. Raya Condet No. 5,7,CHOLILA,021 80877753,,
20110083,TK ISLAM PERMATA BUNDA,Jl. Tengah Gg. Pelita,7,Dra. Nurlaelah,021 87792246,,
20110099,TK SANTO MARKUS,Jl. Kelapa Gading III/38,9,"Chrisensia Suwarni, S.Pd",021 8090508,,
20110103,TK ZSAHARA,Jl. Ciliwung Ujung No. 47,5,"Nur lailah, S.Pd.I",021 8004763,,
20110105,TK ISLAM AN NASHIRIYAH,Jl. Dewi Sartika No. 39,5,Siti Suryani,021 8012329,,
20110110,TK ISLAM AL ABROR,Jl. Tanah Merdeka No18,6,"Halimah, S.Pd.I",021 8400845,,
20110112,TK ISLAM AMARYLLIS,Jl. Abd. Rachman No. 5B,10,LILIS S.SUKAMTO,021 87701915,,
20110113,TK ISLAM BAITURRAHMAN,Jl. Komplek POLRI No. 3,1,,021 8718459,,
20110115,TK AL UMMAHATUSH SHOLIHAT,Jl. Gudang Air No. 1,4,"Dewi Damayanti, S.Ag",021 8404203,,
20110116,TK BUDHAYA II ST. AGUSTINUS,Jl. Raya Perumnas Buaran,4,"ELISABETH SUTRASMI,SPD.AUD",021 8618788,,
20110130,TK HARAPAN I,Jl. Raya Bogor Km. 20,3,"Nurlaela, S.Pdi",021 80883968,,
20110132,TK ISLAM AL FAIZIN,Jl. Damiri No. 158,6,Hasnawati,021 80876421,,
20110134,TK AL ISLAMIYAH,Jl. Balekambang Rt. 3/3 No. 1,2,Masyati,021 8096926,,
20110136,TK ISLAM BUSTANUL HAQ,Jl. Raya Centex No. 28,4,Suprihatin Ningsih,021 8715116,,
20110138,TK ISLAM SUCI,Jl. Suci,6,"Sri Hastuti, S.Pd.I",021 87796166,-6.311261,106.873123
20110139,TK ISLAM WAHYU BHAKTI,Jl. Centex No. 28,6,Alady Ningrum Dasanita,021 87715919,,
20110141,TK KARTINI,Jl. Mualim Aminudin No. 7,2,HARTINI,021 8732845,,
20110142,TK KEMALA BHAYANGKARI 14,Jalan Raya Bogor Km. 21,4,Aisah S. Pd,0812 97242682,,
20110143,TK KHAUDUL ULUM,Jl. Tanah Merdeka,5,"Hj. SITI WARDAH, S.Pd.I",021 8410589,,
20110148,TK SOS DESA TARUNA,Jl. Karya Bhakti No. 1,4,Sumardi,021 8734940,,
20110159,TK ISLAM AT TAQWA,Jl. Daksinapati Raya No. 2,10,"INTAN ATRIANI, S. Pd",021 4705789,,
20110161,TK AISYIYAH BUSTAANUL ATHFAAL,Jl. Centex Raya Gang Masjid 5,2,Widiyarsih,0878 85052233,,
20110162,TK AULIA,Jl. Cibubur VII,4,Yeti S.Pd,0821 24642190,,
20110163,TK BATU KARANG,Jl. Raya Ciracas No. 10,4,Martanik,021 8715115,,
20110164,TK EKA DHARMA SANTI,Jl. Raya Bogor Km. 23,2,"DIAN RATNA SUMINAR, S.Pd.AUD",,,
20110165,TK ADINDA,Jl. SMU 99 No. 139,4,Tinah,021 87721043,,
20110165,TK ISLAM ADINDA,Jl. SMU 99,4,Tinah S.Pd.I,021 87721043,,
20110167,TK ISLAM ANANDA,Jl. Lapangan Tembak No. 11,5,Sri Lestari S.Pd.AUD,021 8717743,,
20110169,TK ISLAM MIFTAHUL JANNAH,Jl. H. Abd Rahman No. 74,4,SITI AFIFAH AS,0851 01306209,,
20110170,TK KARTIKA X 13,Jl. Temu Lawak IV KPAD,1,,021 87756862,,
20110171,TK PERTIWI,Jl. Culak Ringin No.83,3,Lasiyem,021 87708038,,
20110172,TK ISLAM RAUDHATUL ARIFIN,Jl. Mesjid No. 47,2,RADEN ASIH SETIAWATI,0812 10790040,,
20110173,TK SARINAH,Jl. Taruna Jaya,4,"Hj.Hurairoh Maladewi,SE",021 8705222,,
20110174,TK SATU ATAP CILILITAN 01 PG,Jl. Kumbang,3,"NANA RUHYANA, SH",021 8004605,-6.268515,106.863991
20110175,TK TAMAN CENDIKIA ISLAMIC PRESCHOOL,Jl. galur Sari IX Blok L No. 38,2,"dwi astuty, SS",021 8503948,,
20110176,TK TUNAS BANGSA,Jl. Mesjid At Taufiq No. 26,3,"Lakshmi Vijaya, S.PdI",021 8719136,,
20110178,TK TUNAS ISLAM,Jl. Cibubur IV No. 29,4,"IIm Rohimah, S.Pd.I",021 8705657,,
20110183,TK BUDI DARMA I,Jl. Cipinang Muara No. 11,2,Aan Andriani,021 8508145,,
20110184,TK HANNIEK HIKMAH,Jl. BB No. 53,3,Yunita Budi Untari,021 8197661,,
20110185,TK HARAPAN BANGSA,Jl. Cipinang Pulo No. 15,1,"Merry Lina Magendo, S.Pd",021 94374672,,
20110186,TK DWI CAKTI BHAKTI,Jl. Bekasi Timur IV/ 15,1,,021 8573217,,
20110187,TK ISLAM NURUL JANNAH,Jl. Keb. Pala Tanah Rendah Gg. XIV,4,Ikrimah,021 8572731,,
20110188,TK KUNCUP MAWAR,Jl. Cipinang Muara Raya No.12,2,,021 8500761,,
20110189,TKIT FATHAN MUBINA,Jl. Otista Raya No. 448/449,5,Ety Karyati. S.PdI,021 8194158,,
20110190,TK KARTINI MAJASARI,Jl. Cipinang Pulo Maja No. 24,4,LISMA S.Pd.I,021 29360420,,
20110192,TK NURUSY SYIFA,Jl. T No. 50 Cipinang Muara III,3,NITA SOFYANI,,,
20110195,TK ISLAM BAKTI III,Jl. Bekasi Timur IV Ujung,2,"Mahmudah, S.Pd.I",021 8520771,,
20110204,TK DARUL HIKMAH,Jl. Panca Warga II/38,6,Napisah S.Pd.I,021 8196405,,
20110206,TK ISLAM ASS'ADAH,Jl. Tanjung Lengkong,3,"Maswarti, S.Pd",021 85917526,,
20110207,TK AL AMIN,Jl. Cipinang Pulo Maja,4,,021 8626792,,
20110208,TK ISLAM AL HUSNA,Jl. Pinang Merah Cipinang Indah,2,Laila Fitriah,021 8577930,,
20110209,TK DARUL ARQOM,Jl. Bekasi Timur IV,1,,021 8513149,,
20110211,TK CAHAYA SAKTI,Jl. Otista I No. 11,4,"Maria Magdalena Retno W., SPd",021 8507577,,
20110212,TK ISLAM AL BAROKAH,Jl. Cipinang Cempedak IV/42,3,,021 8515625,,
20110213,TK ISLAM ANNURIYYAH,Jl. Kebon Nanas Selatan II/39,7,Dra. Faiza Mansor,"021 8506939, 0817 804192",-6.234247,106.871178
20110218,TK KEMALA BHAYANGKARI 13,Jl. Otista .18 asrama Polri,1,"Sri Bandinah,S.Pd",,,
20110219,TK KRISHNA,Jl. Otista II/25,6,Dra Ida Aprilda,021 85911740,,
20110220,TK KSATRIA BANGSA,Jl. Matraman Raya No. 202,4,Lusia Meliani Suciadi,021 8506566,,
20110221,TK PERSIAPAN,Jl. PANCAWARGA IV,3,SARMI SP.d.I,021 8194350,-6.234929,106.881897
20110223,TK RIYADHUSH SHALIHIN,Jl. Tanjung Lengkong No. 15,3,SRI MARTIANI DERMAWAN S.Si,021 8199368,-6.239325,106.863861
20110225,TK BASMA ALIIFAH,Komplek Perumahan Bina Marga No. 41,4,SUMINAH S.Pd,0812 87428760,,
